fighter_url,fight_url,referee,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl
http://ufcstats.com/fighter-details/881bf86d4cba8578,http://ufcstats.com/fight-details/85e79748b75eb30e,Marc Goddard,1,15 of 31,48%,18 of 34,0 of 3,0%,0,0,0:44
http://ufcstats.com/fighter-details/06734ca9d88dec3a,http://ufcstats.com/fight-details/426e7a3de68117b0,Jason Herzog,0,38 of 87,43%,50 of 102,0 of 0,---,0,0,0:40
http://ufcstats.com/fighter-details/a67d071163962af8,http://ufcstats.com/fight-details/426e7a3de68117b0,Jason Herzog,0,43 of 75,57%,47 of 81,0 of 1,0%,0,0,0:50
http://ufcstats.com/fighter-details/f14cf73e51b29254,http://ufcstats.com/fight-details/3c00f34f20c8a189,Mark Smith,0,25 of 60,41%,145 of 208,2 of 2,100%,0,0,6:17
http://ufcstats.com/fighter-details/2cd428e9606856fd,http://ufcstats.com/fight-details/3c00f34f20c8a189,Mark Smith,0,17 of 55,30%,23 of 63,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/0fd5f4b838e890cc,http://ufcstats.com/fight-details/70b8dca3addcf4de,Kerry Hatley,0,38 of 79,48%,69 of 111,1 of 9,11%,0,0,0:58
http://ufcstats.com/fighter-details/18d01f7f8338ae72,http://ufcstats.com/fight-details/70b8dca3addcf4de,Kerry Hatley,0,43 of 94,45%,68 of 125,3 of 5,60%,1,0,7:12
http://ufcstats.com/fighter-details/1e4f273069fb9e85,http://ufcstats.com/fight-details/775788423f5eeb99,Chris Tognoni,0,35 of 56,62%,58 of 83,4 of 7,57%,0,2,7:11
http://ufcstats.com/fighter-details/fb3e61720be4690c,http://ufcstats.com/fight-details/775788423f5eeb99,Chris Tognoni,0,20 of 35,57%,30 of 49,1 of 8,12%,1,3,3:59
http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,http://ufcstats.com/fight-details/940f586104bf8bc8,Marc Goddard,0,32 of 92,34%,79 of 176,2 of 2,100%,0,0,5:36
http://ufcstats.com/fighter-details/7facc9c45d792985,http://ufcstats.com/fight-details/940f586104bf8bc8,Marc Goddard,0,31 of 66,46%,57 of 97,0 of 6,0%,0,0,3:35
