fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/ab2a4b5e04dc5fe9,http://ufcstats.com/fight-details/043172689e415438,82 of 259,31%,56 of 224,21 of 29,5 of 6,80 of 256,2 of 3,0 of 0
http://ufcstats.com/fighter-details/5444c5a201d3ee5a,http://ufcstats.com/fight-details/03bc32bdb5a33496,69 of 172,40%,47 of 142,7 of 12,15 of 18,68 of 170,0 of 1,1 of 1
http://ufcstats.com/fighter-details/749f572d1d3161fb,http://ufcstats.com/fight-details/03bc32bdb5a33496,102 of 181,56%,30 of 91,42 of 54,30 of 36,102 of 181,0 of 0,0 of 0
http://ufcstats.com/fighter-details/c814b4c899793af6,http://ufcstats.com/fight-details/a1afc16e21d1a807,62 of 113,54%,31 of 72,25 of 34,6 of 7,52 of 96,5 of 7,5 of 10
http://ufcstats.com/fighter-details/e4a47b07044ddd72,http://ufcstats.com/fight-details/a1afc16e21d1a807,50 of 147,34%,23 of 108,13 of 17,14 of 22,47 of 139,3 of 8,0 of 0
http://ufcstats.com/fighter-details/fa6796c55d6c5440,http://ufcstats.com/fight-details/8e5744c664fec3e9,56 of 95,58%,34 of 71,3 of 4,19 of 20,44 of 82,12 of 13,0 of 0
http://ufcstats.com/fighter-details/739fd4fbb5d862f4,http://ufcstats.com/fight-details/8e5744c664fec3e9,45 of 108,41%,38 of 100,4 of 5,3 of 3,35 of 93,10 of 15,0 of 0
http://ufcstats.com/fighter-details/ae81a3ac7b260411,http://ufcstats.com/fight-details/36ec204f47e4d613,2 of 6,33%,0 of 4,2 of 2,0 of 0,2 of 6,0 of 0,0 of 0
http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1,http://ufcstats.com/fight-details/36ec204f47e4d613,2 of 7,28%,2 of 7,0 of 0,0 of 0,1 of 4,0 of 0,1 of 3
http://ufcstats.com/fighter-details/ff62013d2fce6d13,http://ufcstats.com/fight-details/7513a00037094075,93 of 150,62%,60 of 114,25 of 27,8 of 9,58 of 109,33 of 38,2 of 3
http://ufcstats.com/fighter-details/37f560436d745c18,http://ufcstats.com/fight-details/7513a00037094075,66 of 157,42%,46 of 136,16 of 16,4 of 5,54 of 135,12 of 22,0 of 0
http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,http://ufcstats.com/fight-details/19764211af05674c,18 of 54,33%,11 of 45,3 of 3,4 of 6,16 of 50,2 of 4,0 of 0
http://ufcstats.com/fighter-details/fb37795db81f93f3,http://ufcstats.com/fight-details/19764211af05674c,31 of 64,48%,7 of 30,14 of 19,10 of 15,18 of 46,13 of 18,0 of 0
http://ufcstats.com/fighter-details/4a07b1988477502c,http://ufcstats.com/fight-details/e512b80bbaea36c2,33 of 61,54%,25 of 51,5 of 6,3 of 4,14 of 32,3 of 6,16 of 23
http://ufcstats.com/fighter-details/6b56e94a59b7b134,http://ufcstats.com/fight-details/e512b80bbaea36c2,10 of 31,32%,2 of 20,6 of 8,2 of 3,9 of 30,1 of 1,0 of 0
http://ufcstats.com/fighter-details/6a96ad1bc34fb113,http://ufcstats.com/fight-details/5fcf18bcd2a020f1,76 of 153,49%,44 of 104,25 of 39,7 of 10,67 of 132,8 of 17,1 of 4
http://ufcstats.com/fighter-details/285ae0b4a68221f4,http://ufcstats.com/fight-details/5fcf18bcd2a020f1,45 of 109,41%,41 of 102,4 of 7,0 of 0,38 of 96,4 of 10,3 of 3
