fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
9256f591b30c073e,f6a3c78f15ff26c7,Chris Tognoni,26,58,0.44,17,48,6,6,3,4,21,52,3,4,2,2,37,70,3,15,0.2,0,0,0,203,0.44
0a1942069c9ad6b6,958522de54ccc536,Herb Dean,30,55,0.54,24,49,2,2,4,4,30,54,0,1,0,0,30,55,0,1,0.0,0,0,0,0,0.54
d1c65d2cf2925ddd,958522de54ccc536,Herb Dean,18,63,0.28,11,54,6,8,1,1,18,63,0,0,0,0,18,63,0,0,,1,0,0,3,0.28
41cc71cbf210e0fe,2f523b757f7f33a2,Marc Goddard,3,5,0.6,0,2,0,0,3,3,3,5,0,0,0,0,3,5,0,1,0.0,0,0,0,0,0.6
7d6ceff6747f2de2,2f523b757f7f33a2,Marc Goddard,9,11,0.81,7,9,2,2,0,0,4,5,2,3,3,3,9,11,0,1,0.0,1,0,0,2,0.81
36541f1e6c5d4955,815ff62ca8e217be,Jason Herzog,22,51,0.43,16,45,3,3,3,3,19,48,3,3,0,0,39,69,0,0,,0,0,1,103,0.43
68d4a891e5cf2029,815ff62ca8e217be,Jason Herzog,65,103,0.63,53,82,8,14,4,7,24,53,2,5,39,45,102,143,3,5,0.6,0,1,1,497,0.63
809bd1a871491508,d7be78c400e7e0f9,Chris Tognoni,1,2,0.5,1,2,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1.0,0,2,0,47,0.5
19c591115a58982c,d7be78c400e7e0f9,Chris Tognoni,2,2,1.0,0,0,1,1,1,1,2,2,0,0,0,0,2,2,0,0,,0,0,0,0,1.0
d8da10db80131bec,9bff9fe298e63357,Mark Smith,34,61,0.55,19,43,4,7,11,11,27,49,3,4,4,8,46,76,0,2,0.0,0,0,0,0,0.55
85497ffd934ecf7e,9bff9fe298e63357,Mark Smith,46,74,0.62,39,66,4,5,3,3,22,41,2,2,22,31,73,101,2,2,1.0,0,1,0,341,0.62
25f9a5f3e8a52618,043172689e415438,Herb Dean,112,182,0.61,94,160,3,7,15,15,111,179,1,3,0,0,112,182,0,0,,0,0,0,0,0.61
ab2a4b5e04dc5fe9,043172689e415438,Herb Dean,82,259,0.31,56,224,21,29,5,6,80,256,2,3,0,0,83,260,1,10,0.1,0,0,0,5,0.31
5444c5a201d3ee5a,03bc32bdb5a33496,Herb Dean,69,172,0.4,47,142,7,12,15,18,68,170,0,1,1,1,70,173,0,0,,0,0,0,0,0.4
749f572d1d3161fb,03bc32bdb5a33496,Herb Dean,102,181,0.56,30,91,42,54,30,36,102,181,0,0,0,0,102,181,0,0,,1,0,0,0,0.56
c814b4c899793af6,a1afc16e21d1a807,Marc Goddard,62,113,0.54,31,72,25,34,6,7,52,96,5,7,5,10,87,141,4,4,1.0,0,0,0,103,0.54
e4a47b07044ddd72,a1afc16e21d1a807,Marc Goddard,50,147,0.34,23,108,13,17,14,22,47,139,3,8,0,0,62,165,0,2,0.0,0,0,0,73,0.34
fa6796c55d6c5440,8e5744c664fec3e9,Herb Dean,56,95,0.58,34,71,3,4,19,20,44,82,12,13,0,0,101,143,2,15,0.13,0,0,0,321,0.58
739fd4fbb5d862f4,8e5744c664fec3e9,Herb Dean,45,108,0.41,38,100,4,5,3,3,35,93,10,15,0,0,58,125,0,0,,0,0,0,26,0.41
ae81a3ac7b260411,36ec204f47e4d613,Rich Mitchell,2,6,0.33,0,4,2,2,0,0,2,6,0,0,0,0,17,23,0,0,,0,0,0,12,0.33
bf2c8e01b07d3eb1,36ec204f47e4d613,Rich Mitchell,2,7,0.28,2,7,0,0,0,0,1,4,0,0,1,3,15,25,3,5,0.6,0,1,0,220,0.28
ff62013d2fce6d13,7513a00037094075,Lukasz Bosacki,93,150,0.62,60,114,25,27,8,9,58,109,33,38,2,3,102,161,0,1,0.0,1,0,0,89,0.62
